 ,Label,Mean,Min,Max
1,Fructose_org5.tif:1,0.000,0,0
2,Fructose_org5.tif:2,0.000,0,0
3,Fructose_org5.tif:3,41.688,0,639
4,Fructose_org5.tif:4,510.257,323,655
5,Fructose_org5.tif:5,515.686,318,674
6,Fructose_org5.tif:6,521.589,309,685
7,Fructose_org5.tif:7,528.242,328,678
8,Fructose_org5.tif:8,535.091,332,692
9,Fructose_org5.tif:9,542.293,329,707
10,Fructose_org5.tif:10,550.023,345,710
11,Fructose_org5.tif:11,557.905,340,734
12,Fructose_org5.tif:12,566.549,333,752
13,Fructose_org5.tif:13,576.169,327,762
14,Fructose_org5.tif:14,585.991,342,772
15,Fructose_org5.tif:15,596.611,348,781
16,Fructose_org5.tif:16,607.857,339,783
17,Fructose_org5.tif:17,619.554,341,805
18,Fructose_org5.tif:18,632.618,341,838
19,Fructose_org5.tif:19,647.055,342,887
20,Fructose_org5.tif:20,662.714,357,888
21,Fructose_org5.tif:21,679.656,354,901
22,Fructose_org5.tif:22,674.574,361,893
23,Fructose_org5.tif:23,686.252,402,900
24,Fructose_org5.tif:24,708.479,422,939
25,Fructose_org5.tif:25,735.446,434,1006
26,Fructose_org5.tif:26,769.619,437,1051
27,Fructose_org5.tif:27,814.877,441,1241
28,Fructose_org5.tif:28,875.434,449,1589
29,Fructose_org5.tif:29,957.391,453,2213
30,Fructose_org5.tif:30,1068.311,453,3270
31,Fructose_org5.tif:31,1217.794,471,4970
32,Fructose_org5.tif:32,1418.967,487,7404
33,Fructose_org5.tif:33,1686.945,484,10391
34,Fructose_org5.tif:34,2042.142,501,13492
35,Fructose_org5.tif:35,2509.241,551,16313
36,Fructose_org5.tif:36,3109.057,576,18411
37,Fructose_org5.tif:37,3869.323,595,19692
38,Fructose_org5.tif:38,4799.202,631,21881
39,Fructose_org5.tif:39,5874.283,660,29252
40,Fructose_org5.tif:40,7055.232,705,41578
41,Fructose_org5.tif:41,8298.173,772,51628
42,Fructose_org5.tif:42,9557.814,832,57425
43,Fructose_org5.tif:43,10793.843,894,60257
44,Fructose_org5.tif:44,11961.905,956,60493
45,Fructose_org5.tif:45,13031.122,1038,62862
46,Fructose_org5.tif:46,13971.295,1118,65535
47,Fructose_org5.tif:47,14763.519,1206,65535
48,Fructose_org5.tif:48,15407.432,1376,65535
49,Fructose_org5.tif:49,15901.952,1535,65535
50,Fructose_org5.tif:50,16257.371,1738,64863
51,Fructose_org5.tif:51,16492.484,2026,63769
52,Fructose_org5.tif:52,16630.141,2414,63136
53,Fructose_org5.tif:53,16706.094,2895,60754
54,Fructose_org5.tif:54,16755.646,3394,59082
55,Fructose_org5.tif:55,16797.866,3952,55398
56,Fructose_org5.tif:56,16823.097,4471,49295
57,Fructose_org5.tif:57,16819.457,4960,45110
58,Fructose_org5.tif:58,16797.838,5386,43951
59,Fructose_org5.tif:59,16744.438,5822,40899
60,Fructose_org5.tif:60,16648.783,6192,39684
61,Fructose_org5.tif:61,16530.159,6550,36015
62,Fructose_org5.tif:62,16379.047,6921,34166
63,Fructose_org5.tif:63,16187.564,7182,35289
64,Fructose_org5.tif:64,15957.067,7676,32984
65,Fructose_org5.tif:65,15695.257,8138,28655
66,Fructose_org5.tif:66,15414.188,8609,24715
67,Fructose_org5.tif:67,15119.121,8954,23493
68,Fructose_org5.tif:68,14823.338,8480,23016
69,Fructose_org5.tif:69,14540.067,8015,23035
70,Fructose_org5.tif:70,14272.762,7689,23247
71,Fructose_org5.tif:71,14035.481,7292,23503
72,Fructose_org5.tif:72,13841.577,6952,25934
73,Fructose_org5.tif:73,13685.486,6711,29527
74,Fructose_org5.tif:74,13570.443,6529,33653
75,Fructose_org5.tif:75,13497.566,6295,36862
76,Fructose_org5.tif:76,13459.766,6117,37921
77,Fructose_org5.tif:77,13447.294,5870,36725
78,Fructose_org5.tif:78,13455.187,5780,33468
79,Fructose_org5.tif:79,13483.164,5692,28830
80,Fructose_org5.tif:80,13524.564,5450,23904
81,Fructose_org5.tif:81,13573.022,4920,23848
82,Fructose_org5.tif:82,13617.446,4524,23715
83,Fructose_org5.tif:83,13652.549,4203,23761
84,Fructose_org5.tif:84,13667.962,3945,23858
85,Fructose_org5.tif:85,13654.531,3652,22844
86,Fructose_org5.tif:86,13628.452,3515,27169
87,Fructose_org5.tif:87,13584.973,3401,35690
88,Fructose_org5.tif:88,13523.158,3323,43991
89,Fructose_org5.tif:89,13456.212,3245,50698
90,Fructose_org5.tif:90,13382.987,3207,54590
91,Fructose_org5.tif:91,13310.626,3197,54072
92,Fructose_org5.tif:92,13246.746,3187,49921
93,Fructose_org5.tif:93,13191.715,3214,42779
94,Fructose_org5.tif:94,13144.843,3336,35287
95,Fructose_org5.tif:95,13109.343,3433,29010
96,Fructose_org5.tif:96,13085.850,3556,24559
97,Fructose_org5.tif:97,13075.951,3646,29707
98,Fructose_org5.tif:98,13083.581,3824,35705
99,Fructose_org5.tif:99,13107.630,4036,40984
100,Fructose_org5.tif:100,13146.652,4297,43870
101,Fructose_org5.tif:101,13202.739,4296,43836
102,Fructose_org5.tif:102,13259.972,4241,41634
103,Fructose_org5.tif:103,13330.962,4211,37939
104,Fructose_org5.tif:104,13402.757,4207,32424
105,Fructose_org5.tif:105,13473.593,4244,26547
106,Fructose_org5.tif:106,13554.316,4351,24995
