 ,Label,Mean,Min,Max
125,Fructose_org2.tif:125,35330.181,15692,51816
126,Fructose_org2.tif:126,35396.931,15015,51703
127,Fructose_org2.tif:127,35436.779,14489,51745
128,Fructose_org2.tif:128,35458.245,14119,52580
129,Fructose_org2.tif:129,35477.642,13746,53125
130,Fructose_org2.tif:130,35490.804,13594,53566
131,Fructose_org2.tif:131,35509.634,13458,54166
132,Fructose_org2.tif:132,35542.229,13406,55154
133,Fructose_org2.tif:133,35589.446,13417,55840
134,Fructose_org2.tif:134,35650.458,13469,55783
135,Fructose_org2.tif:135,35731.757,13542,54890
136,Fructose_org2.tif:136,35834.004,13791,55458
137,Fructose_org2.tif:137,35959.587,14129,57104
138,Fructose_org2.tif:138,36122.950,14552,57883
139,Fructose_org2.tif:139,36321.276,15146,57844
140,Fructose_org2.tif:140,36531.645,15864,57113
141,Fructose_org2.tif:141,36752.808,16287,55618
142,Fructose_org2.tif:142,36974.364,16212,54621
143,Fructose_org2.tif:143,37169.424,16075,54007
144,Fructose_org2.tif:144,37337.819,16066,53381
145,Fructose_org2.tif:145,37449.326,16259,53773
146,Fructose_org2.tif:146,37518.248,16455,55691
147,Fructose_org2.tif:147,37548.049,16428,56835
148,Fructose_org2.tif:148,37534.681,16332,57062
149,Fructose_org2.tif:149,37484.996,15705,56463
150,Fructose_org2.tif:150,37400.011,14915,55193
151,Fructose_org2.tif:151,37293.132,14163,53926
152,Fructose_org2.tif:152,37185.342,13479,53689
153,Fructose_org2.tif:153,37085.389,13060,53906
154,Fructose_org2.tif:154,36989.975,12459,54685
155,Fructose_org2.tif:155,36888.254,11902,55277
156,Fructose_org2.tif:156,36772.548,11681,55288
157,Fructose_org2.tif:157,36644.134,11329,56693
158,Fructose_org2.tif:158,36511.802,11079,57788
159,Fructose_org2.tif:159,36367.215,10928,58137
160,Fructose_org2.tif:160,36212.886,10846,58341
161,Fructose_org2.tif:161,36077.546,10878,57761
162,Fructose_org2.tif:162,35965.899,10868,56266
163,Fructose_org2.tif:163,35898.865,10966,56401
164,Fructose_org2.tif:164,35855.450,11275,56436
165,Fructose_org2.tif:165,35818.237,11611,56172
166,Fructose_org2.tif:166,35795.556,12028,55773
167,Fructose_org2.tif:167,35790.024,12659,56583
168,Fructose_org2.tif:168,35799.465,13274,57678
169,Fructose_org2.tif:169,35808.964,14041,57943
170,Fructose_org2.tif:170,35799.211,14705,57680
171,Fructose_org2.tif:171,35758.743,14899,56757
172,Fructose_org2.tif:172,35691.811,14605,55650
173,Fructose_org2.tif:173,35600.165,13653,55044
174,Fructose_org2.tif:174,35481.267,12997,55674
175,Fructose_org2.tif:175,35332.762,12760,56154
176,Fructose_org2.tif:176,35150.905,12795,55758
177,Fructose_org2.tif:177,34936.500,12531,54869
178,Fructose_org2.tif:178,34709.685,12224,53734
179,Fructose_org2.tif:179,34492.663,12056,54020
180,Fructose_org2.tif:180,34274.835,12159,54302
181,Fructose_org2.tif:181,34057.208,12440,54707
182,Fructose_org2.tif:182,33849.993,12842,55758
183,Fructose_org2.tif:183,33652.010,13349,56180
184,Fructose_org2.tif:184,33448.854,13950,55820
185,Fructose_org2.tif:185,33242.367,14736,54911
186,Fructose_org2.tif:186,33025.757,14610,53944
187,Fructose_org2.tif:187,32769.632,14742,53076
188,Fructose_org2.tif:188,32482.145,14996,52474
189,Fructose_org2.tif:189,32183.511,14945,52695
190,Fructose_org2.tif:190,31878.777,14762,52405
191,Fructose_org2.tif:191,31562.542,14769,51805
192,Fructose_org2.tif:192,31224.283,14678,51792
193,Fructose_org2.tif:193,30855.414,14458,51843
194,Fructose_org2.tif:194,30465.523,13825,51663
195,Fructose_org2.tif:195,30078.486,13248,51049
196,Fructose_org2.tif:196,29700.073,13011,50428
197,Fructose_org2.tif:197,29337.813,12712,49786
198,Fructose_org2.tif:198,28987.933,12394,48921
199,Fructose_org2.tif:199,28649.991,12215,47673
200,Fructose_org2.tif:200,28334.044,12000,46167
201,Fructose_org2.tif:201,28029.814,12029,45792
202,Fructose_org2.tif:202,27742.022,12037,45822
203,Fructose_org2.tif:203,27472.424,11755,45490
204,Fructose_org2.tif:204,27202.137,11639,45216
205,Fructose_org2.tif:205,26923.506,11577,44654
206,Fructose_org2.tif:206,26644.210,11466,43976
207,Fructose_org2.tif:207,26363.994,11246,43105
208,Fructose_org2.tif:208,26076.556,11133,42138
209,Fructose_org2.tif:209,25781.497,11093,41312
210,Fructose_org2.tif:210,25481.999,10974,40147
211,Fructose_org2.tif:211,25182.216,10642,40258
212,Fructose_org2.tif:212,24875.918,10443,40443
213,Fructose_org2.tif:213,24556.018,10384,39243
214,Fructose_org2.tif:214,24227.723,10083,37333
215,Fructose_org2.tif:215,23882.023,9701,35281
216,Fructose_org2.tif:216,23532.003,9304,34458
217,Fructose_org2.tif:217,23183.244,8900,34075
218,Fructose_org2.tif:218,22839.759,8509,34519
219,Fructose_org2.tif:219,22505.543,8298,35445
220,Fructose_org2.tif:220,22176.383,7758,36843
221,Fructose_org2.tif:221,21851.559,7480,36873
222,Fructose_org2.tif:222,21531.121,7313,34974
223,Fructose_org2.tif:223,21219.326,7248,31528
224,Fructose_org2.tif:224,20907.895,7412,30440
225,Fructose_org2.tif:225,20596.915,7682,29958
226,Fructose_org2.tif:226,20283.642,8209,29441
227,Fructose_org2.tif:227,19968.148,8526,30401
228,Fructose_org2.tif:228,19661.094,8637,30037
229,Fructose_org2.tif:229,19365.166,8792,30112
230,Fructose_org2.tif:230,19073.373,8860,29921
231,Fructose_org2.tif:231,18781.920,8878,28007
232,Fructose_org2.tif:232,18489.838,8718,28744
233,Fructose_org2.tif:233,18196.719,8724,30520
234,Fructose_org2.tif:234,17903.610,8389,33221
235,Fructose_org2.tif:235,17613.391,7406,34642
236,Fructose_org2.tif:236,17332.031,6248,33668
237,Fructose_org2.tif:237,17057.796,5176,35077
238,Fructose_org2.tif:238,16803.458,4354,36370
239,Fructose_org2.tif:239,16578.618,3696,37157
240,Fructose_org2.tif:240,16375.969,3268,36948
241,Fructose_org2.tif:241,16198.019,2878,36362
242,Fructose_org2.tif:242,16035.288,2527,37812
243,Fructose_org2.tif:243,15879.564,2231,37274
244,Fructose_org2.tif:244,15733.883,1942,35342
245,Fructose_org2.tif:245,15610.775,1752,33567
246,Fructose_org2.tif:246,15512.376,1561,38558
247,Fructose_org2.tif:247,15430.326,1407,41522
248,Fructose_org2.tif:248,15333.210,1256,42582
249,Fructose_org2.tif:249,15181.193,1153,44666
250,Fructose_org2.tif:250,14965.396,1058,47040
251,Fructose_org2.tif:251,14700.958,969,49067
252,Fructose_org2.tif:252,14384.814,879,49221
253,Fructose_org2.tif:253,13984.866,844,51095
254,Fructose_org2.tif:254,13480.348,789,51781
255,Fructose_org2.tif:255,12873.857,716,53227
