 ,Label,Mean,Min,Max
1,Fructose_orgconf1.tif:1,0.000,0,0
2,Fructose_orgconf1.tif:2,414.597,231,998
3,Fructose_orgconf1.tif:3,429.296,256,1599
4,Fructose_orgconf1.tif:4,461.237,230,3172
5,Fructose_orgconf1.tif:5,510.588,247,5025
6,Fructose_orgconf1.tif:6,572.915,253,5656
7,Fructose_orgconf1.tif:7,625.411,225,5094
8,Fructose_orgconf1.tif:8,651.380,225,7347
9,Fructose_orgconf1.tif:9,664.349,242,9208
10,Fructose_orgconf1.tif:10,677.175,228,7649
11,Fructose_orgconf1.tif:11,692.770,240,3329
12,Fructose_orgconf1.tif:12,700.972,258,4334
13,Fructose_orgconf1.tif:13,703.094,250,4980
14,Fructose_orgconf1.tif:14,696.762,253,5028
15,Fructose_orgconf1.tif:15,695.537,233,3564
16,Fructose_orgconf1.tif:16,689.227,248,2186
17,Fructose_orgconf1.tif:17,690.152,264,2337
18,Fructose_orgconf1.tif:18,681.264,260,3191
19,Fructose_orgconf1.tif:19,677.349,268,2507
20,Fructose_orgconf1.tif:20,666.644,261,2602
21,Fructose_orgconf1.tif:21,659.445,273,2417
22,Fructose_orgconf1.tif:22,652.729,279,1912
23,Fructose_orgconf1.tif:23,641.052,285,1741
24,Fructose_orgconf1.tif:24,628.851,281,1665
25,Fructose_orgconf1.tif:25,617.200,293,1807
26,Fructose_orgconf1.tif:26,607.519,290,2241
27,Fructose_orgconf1.tif:27,602.147,301,2200
28,Fructose_orgconf1.tif:28,591.329,301,1574
29,Fructose_orgconf1.tif:29,584.003,295,1105
30,Fructose_orgconf1.tif:30,579.831,306,1205
31,Fructose_orgconf1.tif:31,567.727,291,1259
32,Fructose_orgconf1.tif:32,565.136,319,1237
33,Fructose_orgconf1.tif:33,551.460,305,1106
34,Fructose_orgconf1.tif:34,544.932,326,1132
35,Fructose_orgconf1.tif:35,543.668,321,1210
36,Fructose_orgconf1.tif:36,534.613,319,1178
37,Fructose_orgconf1.tif:37,531.589,329,931
38,Fructose_orgconf1.tif:38,531.232,319,1006
39,Fructose_orgconf1.tif:39,523.222,324,1065
40,Fructose_orgconf1.tif:40,517.735,323,1004
41,Fructose_orgconf1.tif:41,514.254,330,845
42,Fructose_orgconf1.tif:42,506.528,319,829
43,Fructose_orgconf1.tif:43,506.173,318,922
44,Fructose_orgconf1.tif:44,501.271,319,818
45,Fructose_orgconf1.tif:45,498.870,296,789
46,Fructose_orgconf1.tif:46,496.345,285,787
47,Fructose_orgconf1.tif:47,494.176,310,779
48,Fructose_orgconf1.tif:48,489.010,306,748
49,Fructose_orgconf1.tif:49,485.910,304,750
50,Fructose_orgconf1.tif:50,485.016,304,796
51,Fructose_orgconf1.tif:51,481.266,289,828
52,Fructose_orgconf1.tif:52,478.452,300,800
53,Fructose_orgconf1.tif:53,477.959,296,789
54,Fructose_orgconf1.tif:54,475.808,304,716
55,Fructose_orgconf1.tif:55,474.508,282,754
56,Fructose_orgconf1.tif:56,473.078,298,850
57,Fructose_orgconf1.tif:57,471.344,300,916
58,Fructose_orgconf1.tif:58,469.184,290,925
59,Fructose_orgconf1.tif:59,473.567,276,738
60,Fructose_orgconf1.tif:60,466.188,282,662
61,Fructose_orgconf1.tif:61,464.861,284,663
62,Fructose_orgconf1.tif:62,460.183,286,660
63,Fructose_orgconf1.tif:63,460.951,270,673
64,Fructose_orgconf1.tif:64,460.607,280,650
65,Fructose_orgconf1.tif:65,463.943,271,660
66,Fructose_orgconf1.tif:66,458.585,269,646
67,Fructose_orgconf1.tif:67,461.852,282,653
68,Fructose_orgconf1.tif:68,456.444,264,667
69,Fructose_orgconf1.tif:69,455.588,274,677
70,Fructose_orgconf1.tif:70,455.684,268,668
71,Fructose_orgconf1.tif:71,452.222,275,651
72,Fructose_orgconf1.tif:72,450.369,257,625
73,Fructose_orgconf1.tif:73,453.875,265,614
74,Fructose_orgconf1.tif:74,448.734,253,607
75,Fructose_orgconf1.tif:75,448.738,265,594
76,Fructose_orgconf1.tif:76,448.944,278,624
77,Fructose_orgconf1.tif:77,448.731,267,620
78,Fructose_orgconf1.tif:78,448.813,272,592
79,Fructose_orgconf1.tif:79,448.673,270,599
80,Fructose_orgconf1.tif:80,453.081,266,597
81,Fructose_orgconf1.tif:81,447.821,283,605
82,Fructose_orgconf1.tif:82,447.426,281,594
83,Fructose_orgconf1.tif:83,447.141,284,599
84,Fructose_orgconf1.tif:84,447.184,268,586
85,Fructose_orgconf1.tif:85,446.578,277,599
86,Fructose_orgconf1.tif:86,446.303,278,581
87,Fructose_orgconf1.tif:87,445.954,270,573
88,Fructose_orgconf1.tif:88,445.649,276,581
89,Fructose_orgconf1.tif:89,445.007,279,572
90,Fructose_orgconf1.tif:90,446.316,280,577
91,Fructose_orgconf1.tif:91,445.015,273,568
92,Fructose_orgconf1.tif:92,445.349,259,572
93,Fructose_orgconf1.tif:93,444.971,254,562
94,Fructose_orgconf1.tif:94,445.656,284,571
95,Fructose_orgconf1.tif:95,447.845,265,567
96,Fructose_orgconf1.tif:96,449.061,279,564
97,Fructose_orgconf1.tif:97,449.481,268,570
98,Fructose_orgconf1.tif:98,444.151,275,569
99,Fructose_orgconf1.tif:99,442.414,265,562
100,Fructose_orgconf1.tif:100,442.762,279,564
101,Fructose_orgconf1.tif:101,444.703,277,560
102,Fructose_orgconf1.tif:102,441.067,264,552
103,Fructose_orgconf1.tif:103,440.907,259,557
104,Fructose_orgconf1.tif:104,442.720,268,573
105,Fructose_orgconf1.tif:105,447.139,286,557
106,Fructose_orgconf1.tif:106,442.497,263,551
107,Fructose_orgconf1.tif:107,441.666,260,562
108,Fructose_orgconf1.tif:108,440.013,275,561
109,Fructose_orgconf1.tif:109,438.371,270,549
110,Fructose_orgconf1.tif:110,445.402,271,557
111,Fructose_orgconf1.tif:111,437.065,262,545
112,Fructose_orgconf1.tif:112,443.422,270,556
113,Fructose_orgconf1.tif:113,440.459,256,550
114,Fructose_orgconf1.tif:114,440.395,257,544
115,Fructose_orgconf1.tif:115,441.140,271,552
116,Fructose_orgconf1.tif:116,441.199,271,544
117,Fructose_orgconf1.tif:117,437.700,267,538
118,Fructose_orgconf1.tif:118,440.528,263,542
119,Fructose_orgconf1.tif:119,440.220,277,548
120,Fructose_orgconf1.tif:120,440.743,267,550
121,Fructose_orgconf1.tif:121,440.690,270,544
122,Fructose_orgconf1.tif:122,440.991,270,551
123,Fructose_orgconf1.tif:123,440.725,273,548
124,Fructose_orgconf1.tif:124,445.397,273,546
125,Fructose_orgconf1.tif:125,440.704,254,545
126,Fructose_orgconf1.tif:126,437.939,277,543
127,Fructose_orgconf1.tif:127,443.743,256,554
128,Fructose_orgconf1.tif:128,436.002,260,540
129,Fructose_orgconf1.tif:129,437.942,268,537
130,Fructose_orgconf1.tif:130,438.687,253,545
131,Fructose_orgconf1.tif:131,437.974,267,543
132,Fructose_orgconf1.tif:132,437.492,278,535
133,Fructose_orgconf1.tif:133,438.828,273,540
134,Fructose_orgconf1.tif:134,439.508,265,541
135,Fructose_orgconf1.tif:135,444.512,271,557
136,Fructose_orgconf1.tif:136,439.295,265,554
137,Fructose_orgconf1.tif:137,439.715,279,545
138,Fructose_orgconf1.tif:138,439.742,264,548
139,Fructose_orgconf1.tif:139,439.480,266,541
