z,quality
0,-0.000
1,4.269E-4
2,4.808E-4
3,5.452E-4
4,6.812E-4
5,0.001
6,0.001
7,0.002
8,0.001
9,0.001
10,0.002
11,0.002
12,0.002
13,0.002
14,0.002
15,0.002
16,0.003
17,0.002
18,0.002
19,0.003
20,0.003
21,0.003
22,0.003
23,0.002
24,0.002
25,0.002
26,0.002
27,0.002
28,0.002
29,0.002
30,0.002
31,0.002
32,0.002
33,0.002
34,0.002
35,0.002
36,0.002
37,0.002
38,0.002
39,0.002
40,0.002
41,0.002
42,0.002
43,0.002
44,0.002
45,0.002
46,0.002
47,0.002
48,0.002
49,0.001
50,0.001
51,0.001
52,0.001
53,0.001
54,0.001
55,9.994E-4
56,0.001
57,0.001
58,0.001
59,0.001
60,9.985E-4
61,9.201E-4
62,8.861E-4
63,8.839E-4
64,8.277E-4
65,7.891E-4
66,7.862E-4
67,7.953E-4
68,8.278E-4
69,7.563E-4
70,6.935E-4
71,6.503E-4
72,6.087E-4
73,5.897E-4
74,5.737E-4
75,5.470E-4
76,5.322E-4
77,5.100E-4
78,4.941E-4
79,4.789E-4
80,4.729E-4
81,4.661E-4
82,4.539E-4
83,4.492E-4
84,4.384E-4
85,4.308E-4
86,4.291E-4
87,4.231E-4
88,4.178E-4
89,4.176E-4
90,4.147E-4
91,4.081E-4
92,4.056E-4
93,4.018E-4
94,4.042E-4
95,4.004E-4
96,3.964E-4
97,3.941E-4
98,3.948E-4
99,3.910E-4
100,3.888E-4
101,3.904E-4
102,3.885E-4
103,3.856E-4
104,3.852E-4
105,3.830E-4
106,3.829E-4
107,3.810E-4
108,3.791E-4
109,3.788E-4
110,3.783E-4
111,3.768E-4
112,3.738E-4
113,3.749E-4
114,3.766E-4
115,3.782E-4
116,3.757E-4
117,3.758E-4
118,3.751E-4
119,3.736E-4
120,3.740E-4
121,3.714E-4
122,3.708E-4
123,3.708E-4
124,3.746E-4
125,3.750E-4
126,3.709E-4
127,3.720E-4
128,3.708E-4
129,3.714E-4
130,3.708E-4
131,3.737E-4
132,3.710E-4
133,3.723E-4
134,3.718E-4
135,3.709E-4
136,3.684E-4
137,3.719E-4
138,3.710E-4
139,-0.000
140,-0.000
