z,quality
0,-0.000
1,-0.000
2,0.003
3,7.466E-4
4,7.476E-4
5,7.012E-4
6,6.735E-4
7,6.558E-4
8,6.519E-4
9,6.441E-4
10,6.474E-4
11,6.500E-4
12,6.636E-4
13,6.936E-4
14,7.333E-4
15,8.003E-4
16,0.001
17,0.002
18,0.004
19,0.007
20,0.010
21,0.012
22,0.011
23,0.010
24,0.007
25,0.006
26,0.007
27,0.008
28,0.010
29,0.011
30,0.011
31,0.009
32,0.007
33,0.006
34,0.006
35,0.006
36,0.007
37,0.007
38,0.008
39,0.009
40,0.010
41,0.011
42,0.010
43,0.009
44,0.007
45,0.006
46,0.005
47,0.005
48,0.005
49,0.005
50,0.005
51,0.005
52,0.005
53,0.005
54,0.005
55,0.005
56,0.005
57,0.005
58,0.004
59,0.004
60,0.004
61,0.004
62,0.004
63,0.004
64,0.004
65,0.004
66,0.004
67,0.004
68,0.004
69,0.003
70,0.003
71,0.003
72,0.003
73,0.003
74,0.003
75,0.003
76,0.003
77,0.003
78,0.003
79,0.002
80,0.002
81,0.002
82,0.002
83,0.002
84,0.002
85,0.002
86,0.002
87,0.002
88,0.002
89,0.002
90,0.002
91,0.002
92,0.002
93,0.002
94,0.002
95,0.002
96,0.002
97,0.002
98,0.002
99,0.002
100,0.002
101,0.002
102,0.002
103,0.002
104,0.001
105,0.001
106,0.001
107,0.001
108,0.001
109,0.001
110,0.001
111,0.001
112,0.001
113,0.001
114,0.001
115,0.001
116,0.001
117,9.718E-4
118,9.227E-4
119,8.843E-4
120,8.550E-4
121,8.449E-4
122,8.336E-4
123,8.090E-4
124,7.764E-4
125,7.534E-4
126,7.324E-4
127,7.102E-4
128,6.945E-4
129,6.722E-4
130,6.485E-4
131,6.253E-4
132,6.000E-4
133,5.808E-4
134,5.646E-4
135,5.498E-4
136,5.384E-4
137,5.302E-4
138,5.263E-4
139,5.212E-4
140,5.194E-4
141,5.143E-4
142,5.108E-4
143,5.074E-4
144,5.011E-4
145,4.988E-4
146,4.965E-4
147,4.900E-4
148,4.886E-4
149,4.801E-4
150,4.758E-4
151,4.746E-4
152,4.732E-4
153,4.681E-4
154,4.603E-4
155,4.508E-4
156,4.439E-4
157,4.405E-4
158,4.329E-4
159,4.277E-4
160,4.175E-4
161,4.094E-4
162,4.054E-4
163,3.986E-4
164,3.954E-4
165,3.897E-4
166,3.865E-4
167,3.858E-4
168,3.891E-4
169,3.889E-4
170,3.868E-4
171,3.855E-4
172,3.838E-4
173,3.843E-4
174,3.826E-4
175,3.823E-4
176,3.819E-4
177,3.772E-4
178,3.773E-4
179,3.733E-4
180,3.730E-4
181,3.753E-4
182,3.747E-4
183,3.779E-4
184,3.775E-4
185,3.824E-4
186,3.821E-4
187,3.840E-4
188,3.844E-4
189,3.865E-4
190,3.920E-4
191,3.957E-4
192,3.984E-4
193,4.027E-4
194,4.097E-4
195,4.149E-4
196,4.201E-4
197,4.275E-4
198,4.271E-4
199,4.312E-4
200,4.353E-4
201,4.435E-4
202,4.529E-4
203,4.621E-4
204,4.659E-4
205,4.731E-4
206,4.758E-4
207,4.764E-4
208,4.751E-4
209,4.724E-4
210,4.776E-4
211,4.875E-4
212,5.003E-4
213,5.122E-4
214,5.201E-4
215,5.245E-4
216,5.260E-4
217,5.251E-4
218,5.286E-4
219,5.344E-4
220,5.435E-4
221,5.553E-4
222,5.683E-4
223,5.795E-4
224,5.883E-4
225,5.964E-4
226,5.982E-4
227,6.036E-4
228,6.142E-4
229,6.298E-4
230,6.440E-4
231,6.620E-4
232,6.789E-4
233,6.805E-4
234,6.828E-4
235,6.902E-4
236,7.056E-4
237,7.317E-4
238,7.561E-4
239,7.764E-4
240,8.019E-4
241,8.171E-4
242,8.303E-4
243,8.451E-4
244,8.621E-4
245,8.883E-4
246,9.154E-4
247,9.377E-4
248,9.483E-4
249,9.571E-4
250,9.667E-4
251,0.001
252,0.001
253,0.001
254,0.001
255,0.001
256,0.001
257,0.001
258,0.001
259,0.001
260,0.001
261,0.001
262,0.001
263,0.002
264,0.002
265,0.002
266,0.002
267,0.002
268,0.002
269,0.002
270,0.002
271,0.002
272,0.002
273,0.002
274,0.003
275,0.003
276,0.003
277,0.003
278,0.003
279,0.003
280,0.003
281,0.003
282,0.004
283,0.004
284,0.005
285,0.006
286,0.007
287,0.007
288,0.007
289,0.007
290,0.007
291,0.008
292,0.010
293,0.010
294,0.011
295,0.010
296,0.010
297,0.011
298,0.011
299,0.010
300,0.009
301,0.007
302,0.005
303,0.004
304,0.002
305,0.001
306,9.435E-4
307,7.696E-4
308,7.089E-4
309,6.637E-4
310,6.410E-4
311,6.341E-4
312,6.439E-4
313,6.604E-4
314,6.717E-4
315,0.001
316,0.008
317,-0.000
318,-0.000
319,-0.000
