 ,Label,Mean,Min,Max
1,Control_orgconf1.tif:1,0.000,0,0
2,Control_orgconf1.tif:2,569.680,304,762
3,Control_orgconf1.tif:3,575.641,301,857
4,Control_orgconf1.tif:4,586.154,304,1048
5,Control_orgconf1.tif:5,612.731,320,1553
6,Control_orgconf1.tif:6,665.142,305,2959
7,Control_orgconf1.tif:7,717.013,325,7105
8,Control_orgconf1.tif:8,746.909,296,13821
9,Control_orgconf1.tif:9,755.136,302,14374
10,Control_orgconf1.tif:10,761.903,293,7472
11,Control_orgconf1.tif:11,775.794,303,5481
12,Control_orgconf1.tif:12,774.389,301,6231
13,Control_orgconf1.tif:13,779.875,300,12296
14,Control_orgconf1.tif:14,787.718,299,16828
15,Control_orgconf1.tif:15,799.522,299,12187
16,Control_orgconf1.tif:16,792.812,299,6498
17,Control_orgconf1.tif:17,803.196,285,9425
18,Control_orgconf1.tif:18,801.738,289,12666
19,Control_orgconf1.tif:19,797.097,301,8150
20,Control_orgconf1.tif:20,803.257,298,6797
21,Control_orgconf1.tif:21,815.191,302,4441
22,Control_orgconf1.tif:22,815.657,296,5311
23,Control_orgconf1.tif:23,817.767,293,5822
24,Control_orgconf1.tif:24,815.180,296,8636
25,Control_orgconf1.tif:25,812.589,300,14974
26,Control_orgconf1.tif:26,804.726,297,12390
27,Control_orgconf1.tif:27,804.252,293,7311
28,Control_orgconf1.tif:28,803.586,295,3699
29,Control_orgconf1.tif:29,809.495,297,2444
30,Control_orgconf1.tif:30,797.992,285,1979
31,Control_orgconf1.tif:31,798.893,296,1989
32,Control_orgconf1.tif:32,800.470,296,1986
33,Control_orgconf1.tif:33,799.330,284,1911
34,Control_orgconf1.tif:34,796.490,291,1665
35,Control_orgconf1.tif:35,794.625,288,1734
36,Control_orgconf1.tif:36,790.989,280,2617
37,Control_orgconf1.tif:37,788.688,284,3249
38,Control_orgconf1.tif:38,785.428,282,2942
39,Control_orgconf1.tif:39,782.074,296,2366
40,Control_orgconf1.tif:40,779.227,298,3086
41,Control_orgconf1.tif:41,775.972,290,3263
42,Control_orgconf1.tif:42,773.260,287,2501
43,Control_orgconf1.tif:43,772.524,299,1572
44,Control_orgconf1.tif:44,769.886,300,1739
45,Control_orgconf1.tif:45,767.435,305,1691
46,Control_orgconf1.tif:46,764.921,293,1811
47,Control_orgconf1.tif:47,759.909,297,1619
48,Control_orgconf1.tif:48,756.404,294,1490
49,Control_orgconf1.tif:49,750.075,300,1346
50,Control_orgconf1.tif:50,747.061,286,1282
51,Control_orgconf1.tif:51,744.410,306,1407
52,Control_orgconf1.tif:52,751.388,316,1943
53,Control_orgconf1.tif:53,738.672,311,2737
54,Control_orgconf1.tif:54,743.542,301,3725
55,Control_orgconf1.tif:55,728.658,304,3702
