 ,Label,Mean,Min,Max
1,Fructose_org4.tif:1,0.000,0,0
2,Fructose_org4.tif:2,326.939,224,422
3,Fructose_org4.tif:3,328.827,228,436
4,Fructose_org4.tif:4,330.451,230,426
5,Fructose_org4.tif:5,331.882,235,438
6,Fructose_org4.tif:6,333.271,236,436
7,Fructose_org4.tif:7,334.659,230,456
8,Fructose_org4.tif:8,336.166,231,441
9,Fructose_org4.tif:9,337.597,237,440
10,Fructose_org4.tif:10,339.077,236,438
11,Fructose_org4.tif:11,340.718,233,453
12,Fructose_org4.tif:12,342.379,230,464
13,Fructose_org4.tif:13,343.959,239,462
14,Fructose_org4.tif:14,345.694,238,474
15,Fructose_org4.tif:15,347.504,240,456
16,Fructose_org4.tif:16,349.334,239,464
17,Fructose_org4.tif:17,351.069,238,474
18,Fructose_org4.tif:18,352.926,244,476
19,Fructose_org4.tif:19,354.962,244,486
20,Fructose_org4.tif:20,357.033,239,486
21,Fructose_org4.tif:21,359.092,244,486
22,Fructose_org4.tif:22,361.360,248,508
23,Fructose_org4.tif:23,363.665,240,496
24,Fructose_org4.tif:24,366.169,249,518
25,Fructose_org4.tif:25,368.816,246,523
26,Fructose_org4.tif:26,371.704,248,537
27,Fructose_org4.tif:27,374.712,244,561
28,Fructose_org4.tif:28,377.994,238,561
29,Fructose_org4.tif:29,381.608,246,576
30,Fructose_org4.tif:30,385.842,250,591
31,Fructose_org4.tif:31,390.596,246,630
32,Fructose_org4.tif:32,396.187,246,687
33,Fructose_org4.tif:33,403.121,250,783
34,Fructose_org4.tif:34,412.068,242,921
35,Fructose_org4.tif:35,423.876,249,1155
36,Fructose_org4.tif:36,439.355,253,1482
37,Fructose_org4.tif:37,460.420,260,1920
38,Fructose_org4.tif:38,488.675,254,2459
39,Fructose_org4.tif:39,525.331,255,3150
40,Fructose_org4.tif:40,571.179,264,3868
41,Fructose_org4.tif:41,628.021,269,4643
42,Fructose_org4.tif:42,695.490,269,5300
43,Fructose_org4.tif:43,772.756,273,5767
44,Fructose_org4.tif:44,858.548,280,6948
45,Fructose_org4.tif:45,951.488,281,8262
46,Fructose_org4.tif:46,1050.793,282,9407
47,Fructose_org4.tif:47,1153.979,293,10460
48,Fructose_org4.tif:48,1262.093,297,11009
49,Fructose_org4.tif:49,1375.852,289,11213
50,Fructose_org4.tif:50,1498.627,298,11023
51,Fructose_org4.tif:51,1629.250,305,10634
52,Fructose_org4.tif:52,1769.165,304,10921
53,Fructose_org4.tif:53,1919.810,310,11106
54,Fructose_org4.tif:54,2079.633,317,11669
55,Fructose_org4.tif:55,2244.849,315,12667
56,Fructose_org4.tif:56,2412.291,320,13472
57,Fructose_org4.tif:57,2577.056,326,14056
58,Fructose_org4.tif:58,2738.711,324,14143
59,Fructose_org4.tif:59,2893.900,338,14091
60,Fructose_org4.tif:60,3041.524,342,13595
61,Fructose_org4.tif:61,3183.365,336,13329
62,Fructose_org4.tif:62,3321.562,344,13742
63,Fructose_org4.tif:63,3459.638,338,14593
64,Fructose_org4.tif:64,3600.633,352,14815
65,Fructose_org4.tif:65,3746.335,360,16601
66,Fructose_org4.tif:66,3895.837,361,19038
67,Fructose_org4.tif:67,4050.225,369,21199
68,Fructose_org4.tif:68,4204.195,374,22450
69,Fructose_org4.tif:69,4358.240,362,22260
70,Fructose_org4.tif:70,4506.904,354,20726
71,Fructose_org4.tif:71,4649.323,369,18503
72,Fructose_org4.tif:72,4783.412,394,16464
73,Fructose_org4.tif:73,4909.766,400,15979
74,Fructose_org4.tif:74,5021.527,414,15231
75,Fructose_org4.tif:75,5126.976,420,14519
76,Fructose_org4.tif:76,5223.297,415,15182
77,Fructose_org4.tif:77,5314.498,422,16583
78,Fructose_org4.tif:78,5402.918,435,17405
79,Fructose_org4.tif:79,5489.155,443,18862
80,Fructose_org4.tif:80,5574.113,453,20319
81,Fructose_org4.tif:81,5660.938,458,20537
82,Fructose_org4.tif:82,5741.619,471,19426
83,Fructose_org4.tif:83,5817.408,475,17250
84,Fructose_org4.tif:84,5890.516,487,19132
85,Fructose_org4.tif:85,5956.859,498,21775
86,Fructose_org4.tif:86,6023.348,510,23277
87,Fructose_org4.tif:87,6100.732,524,23794
88,Fructose_org4.tif:88,6189.847,532,22273
89,Fructose_org4.tif:89,6285.933,542,19979
90,Fructose_org4.tif:90,6382.334,542,17158
91,Fructose_org4.tif:91,6477.338,568,16134
92,Fructose_org4.tif:92,6569.861,582,15009
93,Fructose_org4.tif:93,6656.435,618,14504
94,Fructose_org4.tif:94,6738.151,648,15401
95,Fructose_org4.tif:95,6818.393,693,15416
96,Fructose_org4.tif:96,6902.180,740,14820
97,Fructose_org4.tif:97,6988.310,794,13998
98,Fructose_org4.tif:98,7085.085,848,14099
99,Fructose_org4.tif:99,7191.414,905,14071
100,Fructose_org4.tif:100,7307.952,966,14209
101,Fructose_org4.tif:101,7436.798,1041,14522
102,Fructose_org4.tif:102,7570.059,1132,15592
103,Fructose_org4.tif:103,7704.714,1221,16415
104,Fructose_org4.tif:104,7835.951,1341,16467
105,Fructose_org4.tif:105,7958.020,1445,15780
106,Fructose_org4.tif:106,8069.094,1554,15409
107,Fructose_org4.tif:107,8163.418,1649,16585
108,Fructose_org4.tif:108,8235.293,1822,18677
109,Fructose_org4.tif:109,8289.893,2105,20059
110,Fructose_org4.tif:110,8323.851,2462,20895
111,Fructose_org4.tif:111,8340.412,2836,20875
112,Fructose_org4.tif:112,8347.668,3073,20145
113,Fructose_org4.tif:113,8347.665,3241,18810
114,Fructose_org4.tif:114,8350.663,3483,17717
115,Fructose_org4.tif:115,8365.722,3644,17411
116,Fructose_org4.tif:116,8382.922,3737,17037
117,Fructose_org4.tif:117,8406.149,3833,16455
118,Fructose_org4.tif:118,8437.495,3967,16035
119,Fructose_org4.tif:119,8473.408,4041,15862
120,Fructose_org4.tif:120,8517.417,4129,15418
121,Fructose_org4.tif:121,8573.659,4154,14908
122,Fructose_org4.tif:122,8636.822,4040,15594
123,Fructose_org4.tif:123,8716.342,3926,15880
124,Fructose_org4.tif:124,8805.030,3734,15384
125,Fructose_org4.tif:125,8902.953,3622,14667
126,Fructose_org4.tif:126,9008.801,3577,16468
127,Fructose_org4.tif:127,9121.756,3600,17826
128,Fructose_org4.tif:128,9227.669,3655,17976
129,Fructose_org4.tif:129,9334.144,3689,17269
130,Fructose_org4.tif:130,9433.640,3733,15872
131,Fructose_org4.tif:131,9526.956,3859,15041
132,Fructose_org4.tif:132,9612.951,3966,15231
133,Fructose_org4.tif:133,9682.190,4076,15539
134,Fructose_org4.tif:134,9741.063,4169,15625
135,Fructose_org4.tif:135,9786.582,4338,15830
136,Fructose_org4.tif:136,9821.675,4598,16001
137,Fructose_org4.tif:137,9852.592,4690,16134
138,Fructose_org4.tif:138,9885.779,4718,16056
139,Fructose_org4.tif:139,9914.104,4774,15871
140,Fructose_org4.tif:140,9945.779,4820,15754
141,Fructose_org4.tif:141,9983.430,4888,15502
142,Fructose_org4.tif:142,10024.812,4933,15649
143,Fructose_org4.tif:143,10068.911,5121,15948
144,Fructose_org4.tif:144,10115.430,5328,16443
145,Fructose_org4.tif:145,10164.274,5535,16480
146,Fructose_org4.tif:146,10223.964,5567,16473
147,Fructose_org4.tif:147,10281.549,5306,16612
148,Fructose_org4.tif:148,10339.110,5031,16678
149,Fructose_org4.tif:149,10390.266,4834,16619
150,Fructose_org4.tif:150,10439.065,4666,16503
151,Fructose_org4.tif:151,10482.746,4541,16437
152,Fructose_org4.tif:152,10527.250,4481,16275
153,Fructose_org4.tif:153,10563.934,4399,16026
154,Fructose_org4.tif:154,10598.959,4374,15962
155,Fructose_org4.tif:155,10632.033,4356,16196
156,Fructose_org4.tif:156,10656.682,4318,16450
157,Fructose_org4.tif:157,10682.079,4359,16514
158,Fructose_org4.tif:158,10702.181,4364,16430
159,Fructose_org4.tif:159,10723.392,4440,16350
160,Fructose_org4.tif:160,10748.890,4546,16269
161,Fructose_org4.tif:161,10777.980,4705,16393
162,Fructose_org4.tif:162,10809.307,4859,16596
163,Fructose_org4.tif:163,10844.661,4838,16875
164,Fructose_org4.tif:164,10882.066,4695,17221
165,Fructose_org4.tif:165,10924.553,4585,17307
166,Fructose_org4.tif:166,10975.037,4534,17418
167,Fructose_org4.tif:167,11026.166,4511,17527
168,Fructose_org4.tif:168,11074.729,4563,17220
169,Fructose_org4.tif:169,11114.345,4593,16868
170,Fructose_org4.tif:170,11140.163,4626,16773
171,Fructose_org4.tif:171,11154.165,4658,16781
172,Fructose_org4.tif:172,11155.265,4690,16747
173,Fructose_org4.tif:173,11141.476,4746,16651
174,Fructose_org4.tif:174,11112.527,4773,16476
175,Fructose_org4.tif:175,11073.017,4737,16313
176,Fructose_org4.tif:176,11025.507,4664,16283
177,Fructose_org4.tif:177,10976.243,4598,16389
178,Fructose_org4.tif:178,10927.021,4656,16501
179,Fructose_org4.tif:179,10875.680,4697,16396
180,Fructose_org4.tif:180,10823.337,4812,16214
181,Fructose_org4.tif:181,10765.725,5009,16404
182,Fructose_org4.tif:182,10706.737,5283,16550
183,Fructose_org4.tif:183,10647.934,5606,16579
184,Fructose_org4.tif:184,10586.816,5789,16477
185,Fructose_org4.tif:185,10537.342,6004,16554
186,Fructose_org4.tif:186,10498.111,5922,16947
187,Fructose_org4.tif:187,10465.608,5795,17338
188,Fructose_org4.tif:188,10435.325,5725,17732
189,Fructose_org4.tif:189,10410.287,5631,18041
190,Fructose_org4.tif:190,10387.402,5551,18194
191,Fructose_org4.tif:191,10378.854,5627,18376
192,Fructose_org4.tif:192,10382.998,5630,18204
193,Fructose_org4.tif:193,10399.002,5685,17920
194,Fructose_org4.tif:194,10431.611,5811,17860
195,Fructose_org4.tif:195,10471.684,5695,17847
196,Fructose_org4.tif:196,10521.604,5535,17829
197,Fructose_org4.tif:197,10585.865,5375,17789
198,Fructose_org4.tif:198,10657.280,5324,17717
199,Fructose_org4.tif:199,10730.269,5275,17338
200,Fructose_org4.tif:200,10806.050,5326,16905
201,Fructose_org4.tif:201,10881.068,5167,16685
202,Fructose_org4.tif:202,10954.158,4870,16708
203,Fructose_org4.tif:203,11028.158,4583,16987
204,Fructose_org4.tif:204,11099.478,4264,17336
205,Fructose_org4.tif:205,11172.130,4059,17522
206,Fructose_org4.tif:206,11246.541,3964,17617
207,Fructose_org4.tif:207,11315.073,3879,17697
208,Fructose_org4.tif:208,11371.792,3872,17790
209,Fructose_org4.tif:209,11417.131,3938,17682
210,Fructose_org4.tif:210,11454.059,4043,17645
211,Fructose_org4.tif:211,11482.791,4241,17597
212,Fructose_org4.tif:212,11498.540,4467,18229
213,Fructose_org4.tif:213,11502.982,4659,18421
214,Fructose_org4.tif:214,11499.618,4892,18419
215,Fructose_org4.tif:215,11489.825,5207,18243
216,Fructose_org4.tif:216,11474.808,5543,17905
217,Fructose_org4.tif:217,11461.039,5756,18035
218,Fructose_org4.tif:218,11447.623,5830,17869
219,Fructose_org4.tif:219,11442.318,5909,17608
220,Fructose_org4.tif:220,11447.237,5969,17545
221,Fructose_org4.tif:221,11460.372,5970,17570
222,Fructose_org4.tif:222,11483.703,5954,17665
223,Fructose_org4.tif:223,11519.636,6029,17679
224,Fructose_org4.tif:224,11565.635,6020,17572
225,Fructose_org4.tif:225,11619.121,6001,17448
226,Fructose_org4.tif:226,11678.986,6026,17386
227,Fructose_org4.tif:227,11740.635,6111,17494
228,Fructose_org4.tif:228,11808.398,6238,17755
229,Fructose_org4.tif:229,11879.571,6354,17466
230,Fructose_org4.tif:230,11952.024,6488,17416
231,Fructose_org4.tif:231,12023.625,6472,17542
232,Fructose_org4.tif:232,12086.485,6263,17992
233,Fructose_org4.tif:233,12128.466,6053,18661
234,Fructose_org4.tif:234,12143.692,5928,20549
235,Fructose_org4.tif:235,12128.347,5842,22926
236,Fructose_org4.tif:236,12076.867,5773,24543
237,Fructose_org4.tif:237,12000.246,5698,25437
238,Fructose_org4.tif:238,11898.300,5633,24856
239,Fructose_org4.tif:239,11776.062,5558,23110
240,Fructose_org4.tif:240,11642.831,5470,20762
241,Fructose_org4.tif:241,11506.634,5333,18250
242,Fructose_org4.tif:242,11373.062,5247,18114
243,Fructose_org4.tif:243,11246.274,5152,17728
244,Fructose_org4.tif:244,11132.422,5130,17766
245,Fructose_org4.tif:245,11036.567,5000,17767
246,Fructose_org4.tif:246,10956.617,4595,17958
247,Fructose_org4.tif:247,10899.570,4369,18206
248,Fructose_org4.tif:248,10863.434,4141,18402
249,Fructose_org4.tif:249,10843.956,4006,18293
250,Fructose_org4.tif:250,10829.374,3946,18249
251,Fructose_org4.tif:251,10825.781,3861,18511
252,Fructose_org4.tif:252,10830.277,3803,18340
253,Fructose_org4.tif:253,10840.190,3726,18232
254,Fructose_org4.tif:254,10860.805,3752,18104
255,Fructose_org4.tif:255,10886.740,3770,17693
256,Fructose_org4.tif:256,10919.218,3774,17598
257,Fructose_org4.tif:257,10952.619,3890,17654
258,Fructose_org4.tif:258,10983.494,3901,17697
259,Fructose_org4.tif:259,11019.701,3979,17682
260,Fructose_org4.tif:260,11060.630,4068,17695
261,Fructose_org4.tif:261,11099.694,4133,17554
262,Fructose_org4.tif:262,11133.150,4311,17564
263,Fructose_org4.tif:263,11159.085,4498,17545
264,Fructose_org4.tif:264,11173.993,4665,17455
265,Fructose_org4.tif:265,11184.570,4924,17388
266,Fructose_org4.tif:266,11179.854,5185,17654
267,Fructose_org4.tif:267,11172.766,5201,18041
268,Fructose_org4.tif:268,11168.842,5262,17957
269,Fructose_org4.tif:269,11163.920,5497,17234
270,Fructose_org4.tif:270,11168.403,5639,17319
271,Fructose_org4.tif:271,11183.042,5716,17020
272,Fructose_org4.tif:272,11200.306,5577,16987
273,Fructose_org4.tif:273,11213.621,5439,17010
274,Fructose_org4.tif:274,11222.629,5264,17113
275,Fructose_org4.tif:275,11227.068,5154,16962
276,Fructose_org4.tif:276,11222.845,5034,16836
277,Fructose_org4.tif:277,11214.623,4926,16705
278,Fructose_org4.tif:278,11192.906,4790,16822
279,Fructose_org4.tif:279,11157.891,4713,17135
280,Fructose_org4.tif:280,11112.137,4715,17749
281,Fructose_org4.tif:281,11049.736,4760,18076
282,Fructose_org4.tif:282,10970.585,4824,18134
283,Fructose_org4.tif:283,10880.549,4878,17697
284,Fructose_org4.tif:284,10778.391,4929,17358
285,Fructose_org4.tif:285,10678.831,5033,17540
286,Fructose_org4.tif:286,10570.332,5220,17747
287,Fructose_org4.tif:287,10470.112,5362,17561
288,Fructose_org4.tif:288,10382.557,5548,17488
289,Fructose_org4.tif:289,10307.536,5637,17611
290,Fructose_org4.tif:290,10262.753,5670,17405
291,Fructose_org4.tif:291,10247.591,5714,17296
292,Fructose_org4.tif:292,10248.462,5770,17095
293,Fructose_org4.tif:293,10267.256,5704,16948
294,Fructose_org4.tif:294,10293.135,5662,17014
295,Fructose_org4.tif:295,10315.180,5513,16941
296,Fructose_org4.tif:296,10332.145,5403,16984
297,Fructose_org4.tif:297,10343.111,5148,17635
298,Fructose_org4.tif:298,10342.263,4750,18106
299,Fructose_org4.tif:299,10340.845,4479,18293
300,Fructose_org4.tif:300,10341.808,4290,18397
