z,quality
0,22.287
1,22.287
2,22.287
3,22.287
4,22.287
5,22.287
6,22.287
7,22.287
8,22.287
9,22.287
10,22.287
11,21.778
12,22.896
13,22.763
14,23.402
15,23.144
16,23.024
17,22.656
18,24.611
19,22.924
20,23.795
21,24.917
22,25.405
23,24.821
24,25.030
25,24.704
26,24.536
27,24.989
28,26.076
29,24.998
30,25.529
31,26.939
32,26.672
33,27.942
34,26.545
35,28.431
36,28.652
37,27.891
38,27.707
39,29.038
40,30.010
41,28.875
42,31.018
43,31.257
44,31.073
45,31.125
46,32.734
47,33.070
48,30.522
49,31.694
50,31.633
51,31.046
52,32.992
53,34.363
54,36.009
55,35.968
56,36.280
57,35.113
58,35.965
59,36.510
60,35.986
61,35.583
62,36.274
63,34.853
64,36.715
65,35.766
66,35.704
67,34.986
68,36.401
69,36.691
70,36.449
71,37.547
72,38.609
73,37.092
74,36.008
75,37.469
76,36.220
77,37.231
78,37.259
79,38.114
80,39.090
81,36.241
82,38.021
83,39.575
84,39.750
85,38.960
86,39.141
87,40.751
88,39.427
89,40.711
90,41.448
91,40.761
92,41.784
93,41.402
94,40.708
95,39.974
96,39.969
97,40.695
98,39.715
99,40.549
100,41.024
101,39.729
102,40.193
103,40.124
104,41.858
105,41.480
106,40.949
107,41.084
108,40.257
109,40.278
110,40.179
111,40.790
112,40.307
113,38.580
114,39.330
115,39.957
116,41.012
117,40.527
118,40.332
119,39.495
120,41.131
121,40.717
122,39.786
123,39.917
124,40.276
125,40.346
126,40.935
127,40.548
128,39.727
129,40.192
130,41.119
131,41.296
132,41.053
133,39.696
134,39.605
135,39.125
136,39.549
137,40.686
138,39.856
139,39.257
140,39.645
141,38.668
142,39.225
143,38.668
144,39.442
145,39.127
146,38.472
147,39.318
148,38.715
149,39.302
150,38.907
151,37.883
152,37.954
153,38.897
154,39.578
155,39.195
156,39.393
157,39.014
158,39.096
159,38.643
160,37.787
161,38.884
162,38.452
163,38.939
164,40.733
165,40.702
166,39.665
167,39.681
168,39.621
169,39.379
170,38.194
171,39.175
172,41.129
173,40.440
174,40.825
175,41.165
176,42.223
177,42.800
178,42.358
179,42.834
180,42.310
181,41.381
182,40.879
183,39.807
184,40.655
185,40.858
186,41.384
187,40.867
188,40.669
189,39.598
190,40.158
191,40.309
192,41.735
193,40.837
194,40.650
195,40.618
196,40.990
197,41.090
198,41.841
199,41.589
200,40.405
201,42.437
202,42.444
203,42.551
204,43.109
205,42.354
206,42.612
207,42.181
208,43.282
209,43.910
210,43.996
211,43.929
212,42.799
213,44.003
214,42.671
215,42.881
216,43.677
217,44.875
218,43.291
219,42.889
220,43.384
221,45.096
222,46.102
223,45.542
224,43.376
225,44.787
226,44.954
227,45.714
228,46.034
229,45.741
230,44.742
231,45.363
232,45.624
233,44.985
234,45.231
235,45.646
236,45.413
237,44.714
238,44.754
239,45.148
240,44.698
241,45.209
242,43.951
243,45.377
244,45.962
245,44.939
246,44.324
247,43.284
248,44.010
249,44.689
250,43.986
251,44.893
252,46.150
253,45.969
254,45.811
255,46.709
256,46.693
257,46.355
258,45.999
259,46.520
260,47.386
261,47.512
262,46.156
263,44.700
264,46.585
265,46.982
266,46.568
267,46.370
268,45.898
269,46.278
270,46.630
271,46.426
272,46.433
273,45.845
274,46.574
275,46.956
276,46.225
277,47.091
278,46.990
279,47.247
280,46.812
281,46.838
282,47.779
283,46.707
284,44.747
285,43.848
286,44.429
287,44.583
288,45.192
289,44.797
290,44.445
291,44.041
292,44.331
293,43.821
294,43.829
295,44.206
296,44.598
297,44.786
298,44.533
299,45.468
300,44.889
301,45.225
302,45.536
303,44.752
304,44.249
305,42.778
306,43.735
307,44.705
308,45.938
309,46.872
310,45.551
311,43.897
312,45.517
313,45.339
314,46.180
315,45.535
316,45.478
317,45.806
318,46.690
319,46.315
320,45.372
321,46.953
322,48.377
323,47.931
324,48.395
325,48.902
326,47.862
327,47.982
328,46.902
329,47.790
330,47.942
331,46.225
332,46.584
333,47.195
334,47.637
335,46.651
336,45.814
337,47.363
338,46.764
339,46.770
340,46.494
341,46.504
342,48.443
343,48.318
344,47.752
345,48.982
346,50.088
347,47.659
348,47.847
349,49.760
350,50.945
351,50.717
352,50.561
353,50.255
354,49.705
355,51.239
356,50.865
357,49.016
358,51.224
359,50.777
360,50.283
361,50.337
362,50.518
363,50.717
364,51.197
365,51.500
366,51.877
367,53.165
368,52.889
369,51.407
370,51.211
371,50.347
372,51.348
373,50.159
374,50.515
375,51.557
376,51.887
377,53.599
378,51.362
379,51.610
380,52.090
381,50.101
382,49.928
383,50.619
384,51.491
385,51.943
