 ,Label,Mean,Min,Max
1,Control_orgconf2.tif:1,0.000,0,0
2,Control_orgconf2.tif:2,1024.462,766,1496
3,Control_orgconf2.tif:3,1034.670,786,1761
4,Control_orgconf2.tif:4,1049.954,785,2438
5,Control_orgconf2.tif:5,1085.634,794,4202
6,Control_orgconf2.tif:6,1136.899,805,10475
7,Control_orgconf2.tif:7,1167.055,789,21370
8,Control_orgconf2.tif:8,1192.594,779,26733
9,Control_orgconf2.tif:9,1218.199,780,17358
10,Control_orgconf2.tif:10,1263.393,782,6230
11,Control_orgconf2.tif:11,1323.847,774,8959
12,Control_orgconf2.tif:12,1379.532,776,10469
13,Control_orgconf2.tif:13,1444.539,787,15458
14,Control_orgconf2.tif:14,1517.654,798,26358
15,Control_orgconf2.tif:15,1581.771,809,36847
16,Control_orgconf2.tif:16,1609.576,809,27502
17,Control_orgconf2.tif:17,1630.988,850,22196
18,Control_orgconf2.tif:18,1642.035,864,26357
19,Control_orgconf2.tif:19,1648.119,896,30914
20,Control_orgconf2.tif:20,1637.113,886,17190
21,Control_orgconf2.tif:21,1639.596,891,11515
22,Control_orgconf2.tif:22,1642.324,890,10732
23,Control_orgconf2.tif:23,1634.803,887,12573
24,Control_orgconf2.tif:24,1627.087,869,17790
25,Control_orgconf2.tif:25,1623.036,882,14588
26,Control_orgconf2.tif:26,1614.348,893,11796
27,Control_orgconf2.tif:27,1605.178,884,7916
28,Control_orgconf2.tif:28,1597.386,867,12553
29,Control_orgconf2.tif:29,1593.421,882,11797
30,Control_orgconf2.tif:30,1581.517,857,7217
31,Control_orgconf2.tif:31,1572.236,853,9002
32,Control_orgconf2.tif:32,1566.346,878,8457
33,Control_orgconf2.tif:33,1547.059,878,7628
34,Control_orgconf2.tif:34,1536.846,867,4114
35,Control_orgconf2.tif:35,1526.657,874,3576
36,Control_orgconf2.tif:36,1525.303,871,4116
37,Control_orgconf2.tif:37,1508.006,877,3611
38,Control_orgconf2.tif:38,1503.559,891,3491
