z,quality
0,23.395
1,23.395
2,23.395
3,23.395
4,23.395
5,23.395
6,23.395
7,23.395
8,23.395
9,23.395
10,23.395
11,26.042
12,26.237
13,25.650
14,25.641
15,25.557
16,24.814
17,23.828
18,25.198
19,25.478
20,25.334
21,27.146
22,26.612
23,26.974
24,27.567
25,27.338
26,26.926
27,28.234
28,30.452
29,31.849
30,32.608
31,34.755
32,35.882
33,39.128
34,39.383
35,41.123
36,45.252
37,50.325
38,50.626
39,50.812
40,51.548
41,54.762
42,55.709
43,55.553
44,50.874
45,50.086
46,50.914
47,51.003
48,50.677
49,47.875
50,47.262
51,45.152
52,44.425
53,46.795
54,48.025
55,47.693
56,44.820
57,44.036
58,43.016
59,43.365
60,43.841
61,43.319
62,41.796
63,41.349
64,42.353
65,41.650
66,43.030
67,41.797
68,41.558
69,42.051
70,41.931
71,40.875
72,40.631
73,39.851
74,38.940
75,38.847
76,40.833
77,41.153
78,41.321
79,42.235
80,43.294
81,42.725
82,42.534
83,41.698
84,42.517
85,44.105
86,43.950
87,43.344
88,44.656
89,43.012
90,43.368
91,41.906
92,41.555
93,39.881
94,39.565
95,40.432
96,42.603
97,42.705
98,42.936
99,43.224
100,42.973
101,42.187
102,41.055
103,41.415
104,40.383
105,41.880
106,43.118
107,41.775
108,42.130
109,40.604
110,40.652
111,40.203
112,42.397
113,41.686
114,40.175
115,41.562
116,41.855
117,41.687
118,42.463
119,42.906
120,42.889
121,42.285
122,42.262
123,41.911
124,41.906
125,41.944
126,41.802
127,42.525
128,43.432
129,42.677
130,43.286
131,42.882
132,44.048
133,43.525
134,43.588
135,45.087
136,44.426
137,44.193
138,43.279
139,41.859
140,43.479
141,42.314
142,44.033
143,44.313
144,43.800
145,43.026
146,43.927
147,43.630
148,42.999
149,44.153
150,44.581
151,45.168
152,45.759
153,44.452
154,41.670
155,41.606
156,44.569
157,45.675
158,44.537
159,44.869
160,46.096
161,46.500
162,47.423
163,47.744
164,48.050
165,48.338
166,47.594
167,46.816
168,46.872
169,48.637
170,47.939
171,48.077
172,48.332
173,47.137
174,47.543
175,48.479
176,48.061
177,48.261
178,49.010
179,49.540
180,49.896
181,49.065
182,48.136
183,47.852
184,47.308
185,47.213
186,48.050
187,49.242
188,48.596
189,49.086
190,48.357
191,48.462
192,48.042
193,47.756
194,48.566
195,50.121
196,49.925
197,48.578
198,48.272
199,48.505
200,47.947
201,47.827
202,48.310
203,48.667
204,49.326
205,49.246
206,48.410
207,50.128
208,50.362
209,50.493
210,50.744
211,50.192
212,49.008
213,49.675
214,49.596
215,48.436
216,48.291
217,49.191
218,50.321
219,50.733
220,50.012
221,50.268
222,50.060
223,50.410
224,49.925
225,48.957
226,50.628
227,49.975
228,51.076
229,50.049
230,49.023
231,49.966
232,51.228
233,51.841
234,51.051
235,50.422
236,49.331
237,49.437
238,49.968
239,50.109
240,50.884
241,50.629
242,52.374
243,51.928
244,50.648
245,51.328
246,50.757
247,51.743
248,52.517
249,52.875
250,53.067
251,51.828
252,50.089
253,49.954
254,50.213
255,50.899
256,51.644
257,49.663
258,49.221
259,50.439
260,50.062
261,51.275
262,51.682
263,51.259
264,51.734
265,51.596
266,50.464
267,49.835
268,52.324
269,51.243
270,52.057
271,52.609
272,52.216
273,52.529
274,52.340
275,53.263
276,53.365
277,53.359
278,52.371
279,52.828
280,52.366
281,52.662
282,53.406
283,53.862
284,53.793
285,53.585
286,53.828
287,53.392
288,53.646
289,54.253
290,55.251
291,54.352
292,55.165
293,58.673
294,61.908
295,61.537
296,58.310
297,57.947
298,58.054
299,58.809
300,59.371
301,60.856
302,61.111
303,61.949
304,61.400
305,59.408
306,56.159
307,50.160
308,44.621
309,45.787
310,47.617
311,43.764
312,42.649
313,41.443
314,41.160
315,39.925
316,38.713
317,37.596
318,33.634
319,33.261
320,30.617
321,28.431
322,30.236
323,28.659
324,28.528
325,27.501
326,27.281
327,28.170
328,27.581
329,27.083
330,26.725
331,28.526
332,28.213
333,27.235
334,27.272
335,26.376
336,27.374
337,29.205
338,26.877
339,26.553
340,26.201
341,28.512
342,27.619
343,25.918
344,26.033
345,26.935
346,0.000
347,0.000
348,0.000
349,0.000
350,0.000
351,0.000
352,0.000
353,0.000
354,0.000
355,0.000
356,0.000
