z,quality
0,42.134
1,42.134
2,42.134
3,42.134
4,42.134
5,42.134
6,42.134
7,42.134
8,42.134
9,42.134
10,42.134
11,42.949
12,43.993
13,44.672
14,45.795
15,49.217
16,55.618
17,61.578
18,62.332
19,62.177
20,63.615
21,62.065
22,62.948
23,62.669
24,61.752
25,60.984
26,62.798
27,64.037
28,64.520
29,63.046
30,59.587
31,59.401
32,62.038
33,63.084
34,61.431
35,62.948
36,61.286
37,58.924
38,58.859
39,60.369
40,61.926
41,59.156
42,55.040
43,53.042
44,53.086
45,52.491
46,53.699
47,54.426
48,53.499
49,52.147
50,51.502
51,48.538
52,48.140
53,47.444
54,45.599
55,43.803
56,42.039
57,41.817
58,41.036
59,40.099
60,40.145
61,38.642
62,37.619
63,36.276
64,35.062
65,32.942
66,32.564
67,32.550
68,31.194
69,29.716
70,29.711
71,27.787
72,26.594
73,26.086
74,26.604
75,25.584
76,26.659
77,24.862
78,24.247
79,24.010
80,23.162
81,23.052
82,22.425
83,21.538
84,21.011
85,20.968
86,21.578
87,21.222
88,18.164
89,17.367
90,17.518
91,16.804
92,16.071
93,17.679
94,17.723
95,17.791
96,16.436
97,15.748
98,14.651
99,16.436
100,16.527
101,15.714
102,15.053
103,15.204
104,16.315
105,15.387
106,15.102
107,15.741
108,15.943
109,15.538
110,15.823
111,15.015
112,13.649
113,15.352
114,15.178
115,14.148
116,14.166
117,14.658
118,15.259
119,15.840
120,15.969
121,14.308
122,16.557
123,17.420
124,16.531
125,15.057
126,15.631
127,16.843
128,16.602
129,14.897
130,15.270
131,15.887
132,17.137
133,16.413
134,18.418
135,18.279
136,18.467
137,16.394
138,14.405
139,15.224
140,16.040
141,14.912
142,14.457
143,14.267
144,15.621
145,15.782
146,17.658
147,15.969
148,14.064
149,16.497
150,16.002
151,17.411
152,18.658
153,17.908
154,17.140
155,17.311
156,19.265
157,20.376
158,18.223
159,18.303
160,18.350
161,20.062
162,20.487
163,21.015
164,21.838
165,21.647
166,20.524
167,21.590
168,22.671
169,22.278
170,21.952
171,23.430
172,23.864
173,23.047
174,22.298
175,23.020
176,25.321
177,23.413
178,24.262
179,24.834
180,23.867
181,24.633
182,24.245
183,26.263
184,26.254
185,26.288
186,28.686
187,29.569
188,28.827
189,27.509
190,28.360
191,29.433
192,30.604
193,30.179
194,31.805
195,30.940
196,30.984
197,31.574
198,34.615
199,33.674
200,32.945
201,31.692
202,32.538
203,34.994
204,35.633
205,36.404
206,36.427
207,37.983
208,37.744
209,38.205
210,39.918
211,40.701
212,38.456
213,41.136
214,41.582
215,43.127
216,45.317
217,46.599
218,46.541
219,46.991
220,49.018
221,48.675
222,48.714
223,48.039
224,51.503
225,51.448
226,52.969
227,55.959
228,57.320
229,58.858
230,55.875
231,56.335
232,60.753
233,64.788
234,67.089
235,65.574
236,57.864
237,50.489
238,45.985
239,49.309
240,48.171
241,46.158
242,38.957
243,37.561
244,37.133
245,37.133
246,37.133
247,37.133
248,37.133
249,37.133
250,37.133
251,37.133
252,37.133
253,37.133
254,37.133
