 ,Label,Mean,Min,Max
1,ClearT2_org3.tif:1,0.000,0,0
2,ClearT2_org3.tif:2,0.000,0,0
3,ClearT2_org3.tif:3,0.000,0,0
4,ClearT2_org3.tif:4,422.617,232,943
5,ClearT2_org3.tif:5,431.683,234,1605
6,ClearT2_org3.tif:6,432.690,230,3433
7,ClearT2_org3.tif:7,441.992,221,6253
8,ClearT2_org3.tif:8,461.148,239,9065
9,ClearT2_org3.tif:9,489.135,226,10515
10,ClearT2_org3.tif:10,526.820,244,10144
11,ClearT2_org3.tif:11,577.813,244,8558
12,ClearT2_org3.tif:12,649.468,243,10349
13,ClearT2_org3.tif:13,750.204,241,28151
14,ClearT2_org3.tif:14,878.771,244,55365
15,ClearT2_org3.tif:15,1022.568,251,65504
16,ClearT2_org3.tif:16,1176.677,247,65535
17,ClearT2_org3.tif:17,1345.320,252,65535
18,ClearT2_org3.tif:18,1524.079,251,65535
19,ClearT2_org3.tif:19,1697.748,264,62270
20,ClearT2_org3.tif:20,1858.407,254,64407
21,ClearT2_org3.tif:21,2010.260,264,62546
22,ClearT2_org3.tif:22,2154.035,274,64715
23,ClearT2_org3.tif:23,2283.086,272,65535
24,ClearT2_org3.tif:24,2400.203,262,63660
25,ClearT2_org3.tif:25,2508.595,282,62909
26,ClearT2_org3.tif:26,2604.834,282,65366
27,ClearT2_org3.tif:27,2694.523,291,63481
28,ClearT2_org3.tif:28,2773.148,292,57064
29,ClearT2_org3.tif:29,2843.017,305,47665
30,ClearT2_org3.tif:30,2911.697,313,41939
31,ClearT2_org3.tif:31,2975.550,305,31722
32,ClearT2_org3.tif:32,3032.089,329,23821
33,ClearT2_org3.tif:33,3081.440,342,23730
34,ClearT2_org3.tif:34,3125.996,334,30174
35,ClearT2_org3.tif:35,3172.443,357,40493
36,ClearT2_org3.tif:36,3221.387,370,45594
37,ClearT2_org3.tif:37,3269.184,374,50568
38,ClearT2_org3.tif:38,3311.470,391,53690
39,ClearT2_org3.tif:39,3345.130,405,47100
40,ClearT2_org3.tif:40,3367.449,417,33839
41,ClearT2_org3.tif:41,3386.148,445,24024
42,ClearT2_org3.tif:42,3403.264,448,22319
43,ClearT2_org3.tif:43,3422.370,465,20450
44,ClearT2_org3.tif:44,3440.816,484,17933
45,ClearT2_org3.tif:45,3459.631,491,15738
46,ClearT2_org3.tif:46,3477.241,509,13004
47,ClearT2_org3.tif:47,3493.270,536,12736
48,ClearT2_org3.tif:48,3511.580,557,11693
49,ClearT2_org3.tif:49,3532.722,569,10133
50,ClearT2_org3.tif:50,3556.393,598,9694
51,ClearT2_org3.tif:51,3581.402,611,9844
52,ClearT2_org3.tif:52,3607.247,616,9492
53,ClearT2_org3.tif:53,3632.618,648,8667
54,ClearT2_org3.tif:54,3655.728,674,8993
55,ClearT2_org3.tif:55,3677.217,705,8713
56,ClearT2_org3.tif:56,3695.872,723,7989
57,ClearT2_org3.tif:57,3712.450,757,7974
58,ClearT2_org3.tif:58,3726.883,775,7677
59,ClearT2_org3.tif:59,3739.217,806,7022
60,ClearT2_org3.tif:60,3749.047,812,6391
61,ClearT2_org3.tif:61,3759.840,855,6643
62,ClearT2_org3.tif:62,3769.609,866,6956
63,ClearT2_org3.tif:63,3781.743,904,9863
64,ClearT2_org3.tif:64,3793.415,942,13576
65,ClearT2_org3.tif:65,3805.058,970,14521
66,ClearT2_org3.tif:66,3818.433,1005,12160
67,ClearT2_org3.tif:67,3832.033,1011,11176
68,ClearT2_org3.tif:68,3845.980,1053,11327
69,ClearT2_org3.tif:69,3858.595,1073,13596
70,ClearT2_org3.tif:70,3868.936,1119,14205
71,ClearT2_org3.tif:71,3876.620,1147,13596
72,ClearT2_org3.tif:72,3885.533,1170,11565
73,ClearT2_org3.tif:73,3894.474,1202,9420
74,ClearT2_org3.tif:74,3902.924,1252,12056
75,ClearT2_org3.tif:75,3912.636,1295,13847
76,ClearT2_org3.tif:76,3921.944,1375,14217
77,ClearT2_org3.tif:77,3935.566,1432,13194
78,ClearT2_org3.tif:78,3950.069,1539,11142
79,ClearT2_org3.tif:79,3968.742,1663,8757
80,ClearT2_org3.tif:80,3987.356,1728,6641
81,ClearT2_org3.tif:81,4005.741,1756,5625
82,ClearT2_org3.tif:82,4023.035,1806,5513
83,ClearT2_org3.tif:83,4039.855,1868,5361
84,ClearT2_org3.tif:84,4056.062,1959,5399
85,ClearT2_org3.tif:85,4071.469,2073,5356
86,ClearT2_org3.tif:86,4084.444,2099,5248
87,ClearT2_org3.tif:87,4096.246,2192,5269
88,ClearT2_org3.tif:88,4105.356,2242,5239
89,ClearT2_org3.tif:89,4112.444,2299,5259
90,ClearT2_org3.tif:90,4114.552,2333,5251
91,ClearT2_org3.tif:91,4114.180,2354,5255
92,ClearT2_org3.tif:92,4113.543,2374,5260
