z,quality
0,-0
1,-0
2,-0
3,-0
4,-0
5,-0
6,-0
7,-0
8,-0
9,-0
10,-0
11,-0
12,-0
13,-0
14,-0
15,-0
16,-0
17,-0
18,-0
19,-0
20,-0
21,-0
22,-0
23,-0
24,-0
25,-0
26,-0
27,-0
28,-0
29,-0
30,-0
31,0.014
32,0.008
33,0.006
34,0.005
35,0.004
36,0.004
37,0.003
38,0.003
39,0.004
40,0.004
41,0.005
42,0.006
43,0.006
44,0.007
45,0.007
46,0.007
47,0.008
48,0.008
49,0.007
50,0.007
51,0.007
52,0.007
53,0.007
54,0.007
55,0.007
56,0.006
57,0.006
58,0.006
59,0.006
60,0.005
61,0.005
62,0.005
63,0.005
64,0.004
65,0.004
66,0.004
67,0.003
68,0.003
69,0.003
70,0.003
71,0.003
72,0.003
73,0.003
74,0.003
75,0.003
76,0.003
77,0.002
78,0.002
79,0.002
80,0.002
81,0.002
82,0.002
83,0.002
84,0.002
85,0.002
86,0.002
87,0.002
88,0.002
89,0.002
90,0.001
91,0.001
92,0.001
93,0.001
94,0.001
95,0.001
96,0.001
97,0.001
98,0.001
99,0.001
100,9.693E-4
101,9.420E-4
102,9.139E-4
103,8.811E-4
104,8.604E-4
105,8.452E-4
106,8.347E-4
107,8.308E-4
108,8.270E-4
109,8.273E-4
110,8.311E-4
111,8.316E-4
112,8.299E-4
113,8.278E-4
114,8.231E-4
115,8.190E-4
116,8.117E-4
117,8.087E-4
118,8.013E-4
119,7.944E-4
120,7.905E-4
121,7.925E-4
122,7.983E-4
123,8.034E-4
124,8.036E-4
125,8.038E-4
126,8.024E-4
127,7.987E-4
128,7.887E-4
129,7.857E-4
130,7.886E-4
131,7.929E-4
132,7.930E-4
133,7.878E-4
134,7.863E-4
135,7.916E-4
136,7.933E-4
137,7.968E-4
138,8.060E-4
139,8.270E-4
140,8.493E-4
141,8.734E-4
142,9.020E-4
143,9.357E-4
144,9.691E-4
145,0.001
146,0.001
147,0.001
148,0.001
149,0.001
150,0.001
151,0.001
152,0.001
153,0.001
154,0.001
155,0.001
156,0.001
157,0.002
158,0.002
159,0.002
160,0.002
161,0.002
162,0.002
163,0.002
164,0.002
165,0.002
166,0.002
167,0.002
168,0.002
169,0.002
170,0.003
171,0.003
172,0.003
173,0.003
174,0.003
175,0.003
176,0.003
177,0.004
178,0.004
179,0.004
180,0.004
181,0.004
182,0.005
183,0.005
184,0.005
185,0.005
186,0.005
187,0.005
188,0.006
189,0.006
190,0.007
191,0.007
192,0.007
193,0.007
194,0.007
195,0.007
196,0.007
197,0.007
198,0.007
199,0.006
200,0.005
201,0.004
202,0.002
203,0.001
204,0.001
205,9.044E-4
206,8.309E-4
207,7.978E-4
208,7.656E-4
209,7.475E-4
210,0.001
211,0.001
212,0.001
213,0.002
214,0.002
215,0.002
216,0.002
217,0.002
218,0.002
219,0.002
220,0.003
221,0.003
222,0.003
223,0.004
224,0.004
225,0.005
226,0.006
227,0.008
228,0.012
229,0.026
230,-0
231,-0
232,-0
233,-0
234,-0
235,-0
236,-0
237,-0
238,-0
239,-0
240,-0
241,-0
242,-0
243,-0
244,-0
245,-0
246,-0
247,-0
248,-0
249,-0
250,-0
251,-0
252,-0
253,-0
254,-0
255,-0
256,-0
257,-0
258,-0
