 ,Label,Mean,Min,Max
1,ClearT2_org2.tif:1,0.000,0,0
2,ClearT2_org2.tif:2,0.000,0,0
3,ClearT2_org2.tif:3,0.000,0,0
4,ClearT2_org2.tif:4,84.602,0,790
5,ClearT2_org2.tif:5,358.159,207,683
6,ClearT2_org2.tif:6,368.262,233,714
7,ClearT2_org2.tif:7,374.741,229,766
8,ClearT2_org2.tif:8,380.599,241,845
9,ClearT2_org2.tif:9,386.727,244,1007
10,ClearT2_org2.tif:10,392.929,246,1205
11,ClearT2_org2.tif:11,400.182,232,1859
12,ClearT2_org2.tif:12,409.390,250,4749
13,ClearT2_org2.tif:13,421.818,251,18010
14,ClearT2_org2.tif:14,437.790,251,45259
15,ClearT2_org2.tif:15,454.407,250,61341
16,ClearT2_org2.tif:16,472.449,247,65391
17,ClearT2_org2.tif:17,492.024,253,61350
18,ClearT2_org2.tif:18,512.418,254,37128
19,ClearT2_org2.tif:19,533.627,260,18959
20,ClearT2_org2.tif:20,557.038,256,9658
21,ClearT2_org2.tif:21,584.486,258,6617
22,ClearT2_org2.tif:22,615.837,264,7603
23,ClearT2_org2.tif:23,651.696,265,13024
24,ClearT2_org2.tif:24,692.939,263,17697
25,ClearT2_org2.tif:25,740.992,269,18996
26,ClearT2_org2.tif:26,793.488,274,16615
27,ClearT2_org2.tif:27,851.122,273,15065
28,ClearT2_org2.tif:28,915.523,281,11767
29,ClearT2_org2.tif:29,992.402,281,15095
30,ClearT2_org2.tif:30,1085.977,292,32410
31,ClearT2_org2.tif:31,1197.006,300,54268
32,ClearT2_org2.tif:32,1314.374,301,56726
33,ClearT2_org2.tif:33,1432.053,311,55519
34,ClearT2_org2.tif:34,1541.639,315,54354
35,ClearT2_org2.tif:35,1637.535,327,53178
36,ClearT2_org2.tif:36,1714.355,332,48644
37,ClearT2_org2.tif:37,1777.905,327,38504
38,ClearT2_org2.tif:38,1839.544,346,33963
39,ClearT2_org2.tif:39,1902.022,354,24651
40,ClearT2_org2.tif:40,1967.546,365,14218
41,ClearT2_org2.tif:41,2032.852,374,10130
42,ClearT2_org2.tif:42,2096.555,376,13275
43,ClearT2_org2.tif:43,2162.049,389,15772
44,ClearT2_org2.tif:44,2228.708,392,16479
45,ClearT2_org2.tif:45,2295.580,400,23951
46,ClearT2_org2.tif:46,2362.790,417,31598
47,ClearT2_org2.tif:47,2431.621,422,32954
48,ClearT2_org2.tif:48,2502.434,438,32170
49,ClearT2_org2.tif:49,2562.481,437,37781
50,ClearT2_org2.tif:50,2604.751,444,38095
51,ClearT2_org2.tif:51,2632.195,458,37052
52,ClearT2_org2.tif:52,2647.985,455,31397
53,ClearT2_org2.tif:53,2655.974,468,25181
54,ClearT2_org2.tif:54,2664.646,471,12942
55,ClearT2_org2.tif:55,2684.321,485,6905
56,ClearT2_org2.tif:56,2715.632,488,7369
57,ClearT2_org2.tif:57,2755.457,489,11248
58,ClearT2_org2.tif:58,2800.179,513,13663
59,ClearT2_org2.tif:59,2842.134,504,14749
60,ClearT2_org2.tif:60,2879.395,524,13416
61,ClearT2_org2.tif:61,2910.836,535,11223
62,ClearT2_org2.tif:62,2935.412,539,8081
63,ClearT2_org2.tif:63,2956.725,551,6698
64,ClearT2_org2.tif:64,2979.102,558,8202
65,ClearT2_org2.tif:65,3004.976,562,10642
66,ClearT2_org2.tif:66,3035.443,561,11780
67,ClearT2_org2.tif:67,3071.439,573,10597
68,ClearT2_org2.tif:68,3110.087,588,15573
69,ClearT2_org2.tif:69,3149.781,611,20270
70,ClearT2_org2.tif:70,3192.185,627,21943
71,ClearT2_org2.tif:71,3233.596,647,19464
72,ClearT2_org2.tif:72,3272.082,653,13866
73,ClearT2_org2.tif:73,3308.828,669,16570
74,ClearT2_org2.tif:74,3344.398,689,17365
75,ClearT2_org2.tif:75,3382.243,703,14958
76,ClearT2_org2.tif:76,3419.052,707,11345
77,ClearT2_org2.tif:77,3454.435,730,8385
78,ClearT2_org2.tif:78,3491.534,751,8487
79,ClearT2_org2.tif:79,3527.696,777,13483
80,ClearT2_org2.tif:80,3560.126,773,20748
81,ClearT2_org2.tif:81,3592.582,810,26367
82,ClearT2_org2.tif:82,3622.148,835,27121
83,ClearT2_org2.tif:83,3648.446,851,26411
84,ClearT2_org2.tif:84,3669.193,905,25171
85,ClearT2_org2.tif:85,3681.355,939,21219
86,ClearT2_org2.tif:86,3687.945,956,21225
87,ClearT2_org2.tif:87,3695.022,996,20484
88,ClearT2_org2.tif:88,3698.373,1048,18184
89,ClearT2_org2.tif:89,3700.129,1066,18140
90,ClearT2_org2.tif:90,3697.779,1118,17052
91,ClearT2_org2.tif:91,3690.255,1155,14202
92,ClearT2_org2.tif:92,3682.595,1194,10131
93,ClearT2_org2.tif:93,3678.677,1231,8252
94,ClearT2_org2.tif:94,3681.157,1312,9814
95,ClearT2_org2.tif:95,3690.335,1396,11006
96,ClearT2_org2.tif:96,3706.125,1456,11736
97,ClearT2_org2.tif:97,3723.840,1525,11255
98,ClearT2_org2.tif:98,3741.555,1711,9905
99,ClearT2_org2.tif:99,3756.540,1879,9215
100,ClearT2_org2.tif:100,3768.465,1940,8433
101,ClearT2_org2.tif:101,3779.599,1993,6626
102,ClearT2_org2.tif:102,3791.172,2057,5703
103,ClearT2_org2.tif:103,3806.109,2053,5309
104,ClearT2_org2.tif:104,3824.786,2053,5335
105,ClearT2_org2.tif:105,3847.827,2072,5335
106,ClearT2_org2.tif:106,3875.424,2135,5431
107,ClearT2_org2.tif:107,3904.671,2179,5303
108,ClearT2_org2.tif:108,3931.560,2237,5316
109,ClearT2_org2.tif:109,3955.361,2243,5293
110,ClearT2_org2.tif:110,3973.765,2277,5269
111,ClearT2_org2.tif:111,3983.864,2317,5294
112,ClearT2_org2.tif:112,3988.395,2335,5245
113,ClearT2_org2.tif:113,3990.803,2368,5224
114,ClearT2_org2.tif:114,3989.404,2408,5117
115,ClearT2_org2.tif:115,3985.891,2413,5157
116,ClearT2_org2.tif:116,3985.353,2427,5094
117,ClearT2_org2.tif:117,3986.495,2474,5096
118,ClearT2_org2.tif:118,3990.265,2526,5116
119,ClearT2_org2.tif:119,3995.841,2575,5116
120,ClearT2_org2.tif:120,4002.774,2588,5146
121,ClearT2_org2.tif:121,4011.118,2640,5118
122,ClearT2_org2.tif:122,4022.930,2660,5104
123,ClearT2_org2.tif:123,4035.904,2703,5115
124,ClearT2_org2.tif:124,4052.549,2734,5098
125,ClearT2_org2.tif:125,4075.952,2679,5117
126,ClearT2_org2.tif:126,4102.074,2688,5174
127,ClearT2_org2.tif:127,4130.515,2677,5158
128,ClearT2_org2.tif:128,4158.603,2660,5212
129,ClearT2_org2.tif:129,4184.698,2625,5217
130,ClearT2_org2.tif:130,4209.766,2646,5146
131,ClearT2_org2.tif:131,4230.838,2662,5201
132,ClearT2_org2.tif:132,4248.050,2667,5221
133,ClearT2_org2.tif:133,4262.426,2721,5161
134,ClearT2_org2.tif:134,4275.318,2790,5150
135,ClearT2_org2.tif:135,4284.933,2860,5173
136,ClearT2_org2.tif:136,4294.434,2941,5119
137,ClearT2_org2.tif:137,4301.363,2944,5071
138,ClearT2_org2.tif:138,4304.087,2936,5055
139,ClearT2_org2.tif:139,4303.500,2811,5012
140,ClearT2_org2.tif:140,4298.808,2786,4998
141,ClearT2_org2.tif:141,4290.698,2816,4973
142,ClearT2_org2.tif:142,4282.354,2886,5043
143,ClearT2_org2.tif:143,4271.553,2836,5042
144,ClearT2_org2.tif:144,4261.606,2778,5041
145,ClearT2_org2.tif:145,4250.061,2670,5030
146,ClearT2_org2.tif:146,4234.383,2617,5081
147,ClearT2_org2.tif:147,4219.777,2545,5024
148,ClearT2_org2.tif:148,4206.640,2470,5055
149,ClearT2_org2.tif:149,4194.824,2444,5010
150,ClearT2_org2.tif:150,4183.393,2381,5090
151,ClearT2_org2.tif:151,4172.541,2327,5061
152,ClearT2_org2.tif:152,4162.210,2331,5052
153,ClearT2_org2.tif:153,4153.266,2330,5048
154,ClearT2_org2.tif:154,4145.906,2324,5044
